created_at,new_repos
2008-12-31,2
2009-01-31,1
2009-02-28,1
2009-03-31,2
2009-04-30,3
2009-05-31,0
2009-06-30,2
2009-07-31,3
2009-08-31,3
2009-09-30,2
2009-10-31,1
2009-11-30,2
2009-12-31,3
2010-01-31,5
2010-02-28,5
2010-03-31,8
2010-04-30,8
2010-05-31,4
2010-06-30,19
2010-07-31,15
2010-08-31,6
2010-09-30,14
2010-10-31,17
2010-11-30,20
2010-12-31,5
2011-01-31,24
2011-02-28,15
2011-03-31,18
2011-04-30,17
2011-05-31,17
2011-06-30,21
2011-07-31,13
2011-08-31,27
2011-09-30,21
2011-10-31,25
2011-11-30,15
2011-12-31,30
2012-01-31,19
2012-02-29,19
2012-03-31,26
2012-04-30,33
2012-05-31,46
2012-06-30,30
2012-07-31,44
2012-08-31,33
2012-09-30,33
2012-10-31,36
2012-11-30,59
2012-12-31,48
2013-01-31,45
2013-02-28,56
2013-03-31,65
2013-04-30,73
2013-05-31,72
2013-06-30,57
2013-07-31,52
2013-08-31,60
2013-09-30,50
2013-10-31,67
2013-11-30,77
2013-12-31,70
2014-01-31,98
2014-02-28,99
2014-03-31,124
2014-04-30,107
2014-05-31,167
2014-06-30,121
2014-07-31,118
2014-08-31,113
2014-09-30,120
2014-10-31,127
2014-11-30,185
2014-12-31,133
2015-01-31,189
2015-02-28,161
2015-03-31,173
2015-04-30,175
2015-05-31,194
2015-06-30,195
2015-07-31,213
2015-08-31,189
2015-09-30,165
2015-10-31,219
2015-11-30,187
2015-12-31,162
2016-01-31,202
2016-02-29,206
2016-03-31,180
2016-04-30,267
2016-05-31,192
2016-06-30,223
2016-07-31,191
2016-08-31,226
2016-09-30,249
2016-10-31,180
2016-11-30,218
2016-12-31,166
2017-01-31,234
2017-02-28,207
2017-03-31,221
2017-04-30,198
2017-05-31,238
2017-06-30,209
2017-07-31,183
2017-08-31,204
2017-09-30,184
2017-10-31,193
2017-11-30,163
2017-12-31,153
2018-01-31,195
2018-02-28,160
2018-03-31,162
2018-04-30,153
2018-05-31,121
2018-06-30,131
2018-07-31,148
2018-08-31,112
2018-09-30,110
2018-10-31,134
2018-11-30,132
2018-12-31,105
2019-01-31,110
2019-02-28,124
2019-03-31,91
2019-04-30,134
2019-05-31,131
2019-06-30,104
2019-07-31,107
2019-08-31,100
2019-09-30,101
2019-10-31,119
2019-11-30,106
2019-12-31,99
2020-01-31,116
2020-02-29,96
2020-03-31,137
2020-04-30,112
2020-05-31,91
2020-06-30,94
2020-07-31,83
2020-08-31,79
2020-09-30,55
2020-10-31,62
2020-11-30,66
2020-12-31,54
2021-01-31,63
2021-02-28,55
2021-03-31,74
2021-04-30,46
2021-05-31,57
2021-06-30,69
2021-07-31,45
2021-08-31,39
2021-09-30,51
2021-10-31,50
2021-11-30,53
2021-12-31,55
2022-01-31,51
2022-02-28,61
2022-03-31,89
2022-04-30,56
2022-05-31,58
2022-06-30,51
2022-07-31,51
2022-08-31,47
2022-09-30,35
2022-10-31,54
2022-11-30,57
2022-12-31,39
2023-01-31,13
